Tip,Material,Load,scratch area 1,scratch area 2,Hardness,Temperature
20,Al,180,564.953766322099,558.9816795,0.199507217173581,22.4799313631227
20,Al,18,31.4146214678871,39.49577296,0.199507217173581,19.9035543613583
20,Al,20,33.1015967532602,40.14609386,0.199507217173581,22.4804209557967
20,Al,2,5.91313912716088,5.165743127,0.199507217173581,21.6352644951672
20,Al,60,146.197250335134,201.0641415,0.199507217173581,22.0457334696936
20,Al,6,13.595597060574,18.53842538,0.199507217173581,20.156258689547
5,Al,180,677.655169771003,581.8328639,0.199507217173581,21.2793902299524
5,Al,18,32.1939978597714,43.53477556,0.199507217173581,20.8966093735601
5,Al,20,35.6026175381406,51.60969622,0.199507217173581,19.7038781383775
5,Al,2,2.14167956157629,2.240947453,0.199507217173581,20.8103457214764
5,Al,60,164.015272648857,130.1996723,0.199507217173581,20.4755404719864
5,Al,6,5.21533183672772,3.893109968,0.199507217173581,21.2337179812338
20,Cu,180,177.00607,208.993,0.4629415304847,22.5052061885137
20,Cu,18,13.82397,17.20462871,0.4629415304847,21.2569506904018
20,Cu,20,15.9,19.29303791,0.4629415304847,20.7248424205507
20,Cu,2,1.72045,2.685742988,0.4629415304847,19.8356292541723
20,Cu,60,48.1561,46.91831622,0.4629415304847,19.5576880764551
20,Cu,6,5.84512,5.251457217,0.4629415304847,22.0690220707291
5,Cu,15,12.8595,13.85305072,0.4629415304847,22.5933368249514
5,Cu,45,34.4216,32.43547874,0.4629415304847,22.7144045016956
5,Cu,5,2.516621,2.351229013,0.4629415304847,21.4984462225186
5,Fe3C,5,0.705031766075659,nan,11.0938540048813,19.4419371449032
5,Fe3C,10,1.03079771788819,nan,11.0938540048813,20.7266779225486
5,Fe3C,20,1.6902170697625,nan,11.0938540048813,20.4864005923519
5,Fe3C,50,3.5452596112595,nan,11.0938540048813,20.7287387884387
5,Fe3C,100,6.74951090390891,nan,11.0938540048813,22.7416358494627
20,Fe3C,10,3.11272085412362,nan,11.0938540048813,19.3385392236616
20,Fe3C,20,5.1189352603855,nan,11.0938540048813,20.4625659743537
20,Fe3C,50,10.3200665611208,nan,11.0938540048813,22.9316717520454
20,Fe3C,100,16.2315223120412,nan,11.0938540048813,20.299812410959
20,Fe3C,200,27.0081917989382,nan,11.0938540048813,22.3642319186415
5,SiO2,5,1.25486827047956,nan,5.87751263665217,20.5114019929028
5,SiO2,10,1.97726067369016,nan,5.87751263665217,19.8970583493351
5,SiO2,20,3.18314212757586,nan,5.87751263665217,22.847231073111
5,SiO2,50,6.20242428253722,nan,5.87751263665217,22.7409814251762
5,SiO2,100,10.6977610657554,nan,5.87751263665217,20.1083228202225
20,SiO2,10,5.29782544051525,nan,5.87751263665217,19.4016104507111
20,SiO2,20,8.51458085768376,nan,5.87751263665217,20.1618083774664
20,SiO2,50,15.8122913915588,nan,5.87751263665217,21.4522897231794
20,SiO2,100,25.3206730162122,nan,5.87751263665217,21.2553925188392
20,SiO2,200,41.4717607430134,nan,5.87751263665217,22.7726124212692
5,Si,5,0.036659,nan,11.9420096013757,20.0997077433478
5,Si,10,0.061824,nan,11.9420096013757,20.3564824588448
5,Si,20,0.108684,nan,11.9420096013757,22.6729018007104
5,Si,50,0.223392,nan,11.9420096013757,21.4387835970895
5,Si,100,0.404982,nan,11.9420096013757,20.3390844307425
20,Si,10,0.047301,nan,11.9420096013757,19.8784885280236
20,Si,20,0.083799,nan,11.9420096013757,20.9708404528524
20,Si,50,0.16273,nan,11.9420096013757,19.280404950894
20,Si,100,0.262657,nan,11.9420096013757,20.9382277890092
20,Si,200,0.430994,nan,11.9420096013757,22.2754656568883
5,Cu,5,0.154062,nan,0.439228363610808,22.4774319022055
5,Cu,10,0.331428,nan,0.439228363610808,22.5367368883852
5,Cu,20,0.7021178,nan,0.439228363610808,19.0841763826701
5,Cu,50,2.759796,nan,0.439228363610809,22.7660412839112
5,Cu,100,5.962212,nan,0.439228363610809,20.8223030305905
20,Cu,10,0.1300248,nan,0.439228363610808,20.1370120372247
20,Cu,20,0.239559,nan,0.439228363610808,19.0131113976086
20,Cu,50,0.618606,nan,0.439228363610809,19.8909402836539
20,Cu,100,1.4004202,nan,0.439228363610809,19.495173226609
20,Cu,200,3.014865,nan,0.439228363610809,20.8076314323097
5,Al,5,0.385539,nan,0.215371494290502,21.1659781317053
5,Al,10,1.346741,nan,0.215371494290502,19.6075418700589
5,Al,20,3.687903,nan,0.215371494290502,22.9639927884721
5,Al,50,9.049422,nan,0.215371494290502,19.3595722053539
5,Al,100,15.87931,nan,0.215371494290502,21.5595413238758
20,Al,10,0.22557,nan,0.215371494290502,20.8579905542713
20,Al,20,0.468496,nan,0.215371494290502,21.0874933340185
20,Al,50,1.265994,nan,0.215371494290502,22.3537878534208
20,Al,100,5.214145,nan,0.215371494290502,20.208733627949
20,Al,200,13.099,nan,0.215371494290502,22.4768309346063
